,screennames,firstcomponent,secondcomponent,thirdcomponent
401,RepSwalwell,0.3075178196619149,-1.8955538770467886,-0.049770019902562156
266,RepJerryNadler,0.7910342744461921,-1.8353666778713453,-0.04748324681293134
121,RepAdamSchiff,-0.15824006722750406,-1.8316320414164928,-0.057405401608292106
264,RepJeffries,0.4227853141359903,-1.8287085239469694,-0.036134551848105954
573,maziehirono,0.8566767335917109,-1.8229635917733173,-0.04119124063213968
84,Lawrence,-0.3217631754516129,-1.781609229861009,-0.05806146701831575
326,RepMaxineWaters,-0.6571695818746404,-1.7546851987406558,-0.041045432815819675
447,SenBlumenthal,1.2223876044355237,-1.7426351127230288,-0.053623448619252015
423,RepValDemings,-0.07088551484279833,-1.732242360631406,-0.028658381682648327
479,SenSchumer,-0.054345899824337296,-1.726358427006948,-0.06601408202043045
492,SenateDems,0.4751667105036167,-1.7062516445068454,-0.06882163068950939
550,amyklobuchar,0.0030443815507049943,-1.7001923544517157,-0.053202065930040975
502,SenatorDurbin,1.0994107108531164,-1.6990041829631677,-0.05029810074631744
143,RepBarbaraLee,0.2867909362173874,-1.6969735085432271,-0.02678153066048579
490,SenWhitehouse,1.118107340132981,-1.6948496292283433,-0.041577504178300036
457,SenFeinstein,0.5313266697930518,-1.6885627358980966,-0.06186648394441251
571,maddow,-1.081452742299398,-1.678392429396099,-0.04771497051540037
529,TheDemocrats,-0.10155619895020365,-1.6644396854385328,-0.06323335303971164
62,HouseDemocrats,0.35508078884684835,-1.6574463450751094,-0.06819881180627342
456,SenDuckworth,0.06080471503671285,-1.643926157380971,-0.034320349007735375
556,chrislhayes,-0.8038034324131301,-1.620855016624024,-0.0519009577973629
262,RepJayapal,-0.44563901494451713,-1.6091062916567431,-0.02823052427951167
74,JoaquinCastrotx,0.0033617554526771103,-1.5957196478127682,-0.027998527808113433
357,RepRaskin,-0.14112764709745057,-1.5942291566155609,-0.022155669463837475
520,SpeakerPelosi,-0.815756789373182,-1.5857650036853792,-0.052808083447718826
290,RepKatiePorter,-1.084890133089864,-1.5857216003628802,-0.02122814510069971
489,SenWarren,-1.3926646994798835,-1.5561128707653726,-0.032983059112184576
463,SenJeffMerkley,0.9310140614483884,-1.5444369139283285,-0.034641795213303364
274,RepJoeNeguse,-0.34964493520550083,-1.5281501282507468,-0.017001987832750087
393,RepSpeier,0.6830846998006578,-1.525419826571922,-0.016076280540836183
562,ewarren,-1.7289265224988961,-1.5164160806934017,-0.024183991463118178
1,ACLU,-1.3872483341925355,-1.5001013954566462,-0.025940682769364683
99,MotherJones,-0.9017810513056402,-1.4896443027022537,-0.043095553601050406
114,PeteButtigieg,-1.3462616606115707,-1.4744682179003672,-0.03614751782808064
86,MSNBC,-0.6191051522054928,-1.4573425184606792,-0.06655404178107129
481,SenSherrodBrown,0.5414023626457818,-1.4540920088838802,-0.0332472838911668
521,StaceyPlaskett,-0.9675578699940222,-1.4509161242616346,-0.01853312474944481
532,TomSteyer,-0.6492135133418365,-1.4102049967125745,-0.03645859770879419
438,RonWyden,0.9412738161271901,-1.4063574699540808,-0.033690031878450544
547,WhipClyburn,0.4162793581711592,-1.3991974026437235,-0.02098213079399382
90,MarkWarner,0.9268841084742314,-1.3986036088301594,-0.03654153159130722
507,SenatorLeahy,1.4366188584138981,-1.3972720039880262,-0.03205761365136732
353,RepPressley,-0.9473550198605051,-1.397241872700288,-0.023357677606333928
422,RepUnderwood,-0.4170789954809263,-1.3890486407529228,-0.009626411868239535
542,VP,-2.171721062811327,-1.3853446943776928,-0.00422941322020583
222,RepEscobar,0.265251917307938,-1.3518540959275005,-0.0033730600357258695
560,dccc,-0.23110218164208138,-1.347740480660023,-0.03140598178543502
386,RepSeanMaloney,-0.2966229961749546,-1.343041287631516,-0.01130976243316671
113,PattyMurray,0.8952360272346138,-1.3422723793546096,-0.030018523096453798
405,RepTedLieu,-0.029983183620094493,-1.3399552631687934,-0.014378449224684607
558,dailykos,-0.9452380363271535,-1.3163681524155595,-0.036641527716809126
80,KamalaHarris,-2.5541549353749917,-1.3161246739133903,0.004067445927787564
61,HillaryClinton,-1.729286458868767,-1.3138798310251625,-0.0330645833305273
288,RepKarenBass,0.14325513193047743,-1.3108658921239202,-0.01032223532095843
314,RepMGS,0.24749988191322503,-1.2799253613036907,0.001949563840107483
402,RepSylviaGarcia,0.12762485264458778,-1.2795951770898368,0.00012190970121390388
13,BillPascrell,0.005866047334005471,-1.2758601463189667,-0.007082983994894581
528,TheDailyShow,-1.897254485585484,-1.2758156393431768,-0.027704364690346078
12,BillClinton,-1.1256154323918919,-1.275168746654089,-0.05202230411925092
68,JacksonLeeTX18,0.5150839408872193,-1.2694799657155418,-0.011924344044689042
561,donlemon,-1.2241324447429354,-1.2687377654052356,-0.0431753073299704
260,RepJasonCrow,-0.36656337112407944,-1.2539894300084375,-0.009222520868536857
598,thinkprogress,-1.0201702477868015,-1.2393157816668219,-0.036339423841279306
203,RepDean,-0.07811309881979724,-1.229405050149439,-0.0025214619923961488
24,ChrisCoons,1.298507293637476,-1.228499652994788,-0.031142011050778438
522,StephenAtHome,-2.0585222387739996,-1.2227127629277588,-0.022966649956043736
549,algore,-1.0907103615430527,-1.2176247308852284,-0.04041453160379697
601,washingtonpost,-1.0671770850015663,-1.2157782345158077,-0.06115215892863414
85,LeaderHoyer,0.8356095810455209,-1.2106853333584149,-0.02042325580666495
8,BarackObama,-3.3291399616812614,-1.2103264600988481,0.027730562181383162
356,RepRashida,-1.0246213154733366,-1.209842966863964,-0.024460464110809096
568,jahimes,0.29109020930103713,-1.2014764035398644,-0.007076845434005082
579,politico,-0.42397811963406656,-1.1926729256517026,-0.07347552564464496
432,RepWilson,0.1831810781347892,-1.1926512530854554,-0.006653312033603506
34,CongressmanRaja,-0.6061919390334239,-1.191908259917712,-0.011641685376953504
212,RepDonBeyer,0.3037505743567512,-1.1846189764974577,-0.004244098030152629
551,andersoncooper,-1.3609743338208597,-1.179748938897207,-0.04837353425299235
101,NPR,-1.5043287407887695,-1.1692513783499952,-0.03933423701360467
75,JoeBiden,-2.6002640459330246,-1.1676938274866708,0.00397693027517837
110,POTUS,-2.600657189945682,-1.165964915485003,0.007313361095880349
64,HuffPostPol,-0.6320707400239607,-1.1653627176194288,-0.055005229644541825
206,RepDebHaaland,-0.8592375020894845,-1.1605041613431035,-0.0025502966159529367
26,ChrisVanHollen,0.9753324468107334,-1.155989883359767,-0.01566782852707628
65,Ilhan,-1.411085737067481,-1.153818056009282,-0.022898521941375143
449,SenBooker,-0.6523925392432077,-1.1498835914145407,-0.01911796695847648
470,SenMarkey,0.03301704371864918,-1.1405744159569515,-0.016107887104087622
390,RepSlotkin,0.06361966046981314,-1.1395698542827846,-0.0005488129169541877
103,NewYorker,-1.3313787240837223,-1.136176839691274,-0.04533341708532575
317,RepMaloney,0.6394754827169643,-1.1288732698445159,0.001797911168875066
25,ChrisCuomo,-1.2153541146367701,-1.1285203445561962,-0.0435083947191044
600,voxdotcom,-1.3265471140063205,-1.1264282358447908,-0.037952349116461406
205,RepDebDingell,0.16184038441871382,-1.1150184210343121,-0.00662655909536111
182,RepCohen,-0.02297905169759205,-1.113483351904641,-0.0040134664056722755
404,RepTedDeutch,0.7556976008175593,-1.1045335443616862,0.0003205245130975313
125,RepAlGreen,0.5108062826620431,-1.096951586129442,-0.00318729808173889
519,Slate,-1.1212066523877582,-1.095108113847089,-0.047111910569867216
434,RepZoeLofgren,1.420196046040005,-1.089219985181267,0.004632188962845021
201,RepDavids,-0.7329395159732359,-1.089167581203505,0.0006360275517043924
387,RepSherrill,-0.1284088363988063,-1.0871106323388129,0.005146797317768672
3,AOC,-2.8807396069072024,-1.0865364706119336,0.00985870255748667
104,NewsHour,-0.805935655648194,-1.0675168593349478,-0.04355483575763175
58,HRC,-1.7471449309914764,-1.0595085503118842,-0.01767665088946416
313,RepLucyMcBath,-0.6219009499091754,-1.058012650578127,0.005057328825848924
495,SenatorBennet,0.39290602007665726,-1.0508681742864767,-0.01939299946149563
485,SenTinaSmith,-0.3254532917556913,-1.0437697654151734,-0.005974290892421991
433,RepYvetteClarke,0.5947800657695457,-1.0430261249303836,-0.00238341537267786
287,RepKClark,0.06632541071798141,-1.039715924758983,0.0031683841461333947
189,RepDMP,-0.09284899992910978,-1.0367175225346605,0.005832774841206347
392,RepSpanberger,0.20785706736694937,-1.0150313572876222,0.006750434289776253
411,RepTimRyan,-0.5135281133011307,-1.0149469836437135,-0.01221606618388486
259,RepJahanaHayes,-0.4317495982145879,-1.014100069087259,0.002437058191844802
448,SenBobCasey,0.6957247510171904,-1.0048271968318916,-0.025250068881324056
94,MikeBloomberg,-0.8003848211802809,-1.0041727557951654,-0.053531490519539274
494,SenatorBaldwin,0.5780431229143457,-1.0038788878258076,-0.011527405040514402
590,repmarkpocan,0.008825205158332508,-0.9959545166744549,0.0021998578209118354
578,nytimes,-1.8111902329620533,-0.9957188027191328,-0.042986222510180125
583,repdelgado,0.0005375069462131509,-0.991873283411171,0.019389489897961135
43,FiveThirtyEight,-1.4324228958566618,-0.9733873616283462,-0.03404682178665527
249,RepHaleyStevens,0.004214159375985553,-0.9647400069633592,0.01134598779847054
183,RepColinAllred,-0.2884075868408051,-0.9600654200993197,0.010985068882370481
321,RepMarkTakano,0.47809656263381384,-0.9566372266228783,0.01152245931125899
50,GStephanopoulos,-0.6237796939683037,-0.9546729054483999,-0.05841204001754384
154,RepBonnie,-0.059998510840314094,-0.9533444298946282,0.009124125841351131
100,NBCNews,-0.9616055260457492,-0.9521141621698331,-0.06619339257663742
52,GerryConnolly,0.1377016217886379,-0.9501656830295739,0.007718149099169549
445,SenAngusKing,1.3094535958394888,-0.945866259186072,-0.02719736143428831
499,SenatorCardin,0.996098942846308,-0.9335569802394799,-0.017498228753608056
119,RepAOC,-1.5997305640795654,-0.9255765713792127,-0.019406990777152768
135,RepAngieCraig,0.10816229524788092,-0.9228203494413767,0.015620085207166227
255,RepHoulahan,0.11768338193479952,-0.9194181637469587,0.017436920629524608
92,MartinHeinrich,1.3579595704573464,-0.9165363301355076,-0.01657936617617699
250,RepHankJohnson,0.6648374265048086,-0.9147431314654579,0.005788772785130162
107,NydiaVelazquez,0.4682522498851445,-0.9129519435860489,0.004922376272343908
477,SenSanders,-2.2212698592715165,-0.9115693361492809,-0.0179048908889389
7,BBCWorld,-1.2257921155733633,-0.9052911461516409,-0.05565458766245937
509,SenatorMenendez,0.5415461701865741,-0.9046091714903797,-0.01849873452452867
407,RepTerriSewell,0.006657750214529007,-0.9021469468169598,0.009548721437697
246,RepGwenMoore,0.1251320216105671,-0.8998798107164337,0.007844126072448143
330,RepMcGovern,0.5290905615437117,-0.8893002291502969,0.004490650517262339
318,RepMarciaFudge,0.023914726262084702,-0.8876304821058059,0.007492938256122783
286,RepJudyChu,0.4419737405319922,-0.8862985329346195,0.0077526667623572755
336,RepMikeLevin,-0.12789861742262626,-0.8789434371015851,0.022420936882180616
377,RepRubenGallego,0.11136668900655194,-0.8746899506037941,0.007078402830104028
569,janschakowsky,-0.057767282923209165,-0.8631465147487508,0.008009510691254874
145,RepBeatty,-0.5885070257054417,-0.8584660445828256,0.004735327726000274
444,SenAmyKlobuchar,-1.1918287320508232,-0.8571083720777505,-0.01305059205858621
42,EleanorNorton,-1.035133292426354,-0.8567824474705867,-0.0013121501252426676
431,RepWexton,-0.020787955293978925,-0.8566069206208872,0.016610721105382344
513,SenatorShaheen,1.3053003174557136,-0.8547134662256259,-0.013966964165875173
220,RepElaineLuria,0.1948546114193554,-0.8392083336480531,0.014904004549533608
367,RepRoKhanna,-0.6520120435489667,-0.835655685231412,-0.0030427698769294165
4,AndrewYang,-1.6936301790398163,-0.8248173139282332,-0.03503569059280191
591,rosadelauro,0.44437398815004187,-0.8045047340917897,0.011704132729991316
498,SenatorCantwell,0.6487843953865713,-0.803261891117906,-0.014662269792619455
115,PeterWelch,-0.2691551673971614,-0.7990451245313619,0.013594989064450372
482,SenStabenow,0.4123540161437801,-0.7904762801149612,-0.006321911517887615
226,RepFletcher,0.07509076124564795,-0.7889415533026454,0.01896658868137796
270,RepJimmyGomez,-0.6857204230066194,-0.7864003851657541,0.009654132848151318
251,RepHarley,-0.4180167178036425,-0.7842910484708888,0.01943393420303313
178,RepCicilline,-0.6915810851630205,-0.78399839576526,-0.002488172246522824
21,CBSNews,-0.8114959596622922,-0.781009545901791,-0.06916696902488165
204,RepDeanPhillips,-0.45615351265186455,-0.7803079206764251,0.009119621154821195
144,RepBarragan,-0.5870369062635281,-0.7781757409480281,0.012788490897695737
505,SenatorHassan,0.8597111161191721,-0.7726447148696097,-0.007415264030076844
0,ABC,-1.091604056654122,-0.7680245459484595,-0.06508854778880892
362,RepRichmond,0.006407951310760784,-0.7647884293239717,0.006872359679451254
10,BernieSanders,-2.5491299306289887,-0.7623344323347786,-0.01243559137479859
133,RepAndyKimNJ,-0.9353162540583823,-0.7622400042018835,0.013551599680077773
134,RepAndyLevin,-0.36282932154496833,-0.7549293459872632,0.017296234320680993
192,RepDanKildee,0.0438093209260553,-0.748168227774599,0.008833315100976602
517,SenatorTomUdall,1.3447300677678136,-0.7477254470451691,-0.019104412078239107
9,BennieGThompson,-0.047740207872541476,-0.7465169786499174,0.011965726927380075
308,RepLoisFrankel,0.8935311474809817,-0.7326338330878157,0.020932325977671855
242,RepGregoryMeeks,0.6623429832520651,-0.7232881339193663,0.00962918701259185
186,RepCunningham,-0.7225819311363071,-0.7212589178318785,0.01500050582569669
515,SenatorTester,0.6803440794164436,-0.7176076645855868,-0.0049624665749516015
565,glaad,-2.4002047754090086,-0.7113996102677671,-0.011028385529106467
304,RepLindaSanchez,1.3595829321361603,-0.7035456149980708,0.025729690249627395
309,RepLoriTrahan,-0.07861026909564738,-0.7024899579255632,0.021042018344245392
400,RepSusieLee,0.1099885315361703,-0.6990088620163364,0.018478782869051354
210,RepDianaDeGette,-0.182721109785958,-0.6950470426855849,0.0068597919606075385
337,RepMikeQuigley,0.12232143275361076,-0.6920399105314582,0.012649919321913132
325,RepMaxRose,-0.6790977874598434,-0.6863442581452576,0.009756927889586332
452,SenCortezMasto,0.2782597141961179,-0.6806819440409527,0.0036801143257924663
302,RepLawrence,0.1932223219717481,-0.6803703012814555,0.016845429975071827
284,RepJoshHarder,-0.4850923662579976,-0.6795331766140446,0.02024458009542278
462,SenJackyRosen,0.021824388805042786,-0.6788500621892002,0.008936355111718598
221,RepEliotEngel,1.1370174888835851,-0.6747964521823366,0.009364297291987365
152,RepBobbyRush,0.1498012297308069,-0.6713871540828878,0.013874163996826156
552,benraylujan,-2.0911151858914985,-0.6689223969240009,-0.0004929201421374895
450,SenBrianSchatz,0.29182897615620734,-0.665481046951704,0.0038620505277526377
581,repcleaver,0.5362208905261459,-0.6595136642300583,0.014216244470228023
395,RepStephMurphy,0.21424912879187935,-0.6574832354097475,0.018926248076239747
139,RepAnthonyBrown,-0.7732294318849582,-0.6551106187838952,0.01017093418602009
500,SenatorCarper,1.7798091839070058,-0.6508807469097551,-0.01018133848409929
361,RepRichardNeal,0.9289628093493526,-0.6479341443126774,0.01988652512311082
238,RepGraceMeng,0.5703832660412467,-0.6394406292888719,0.017942309323900014
536,USATODAY,-1.1535249926301334,-0.62548125110802,-0.06087655832755041
419,RepTorresSmall,-0.5936429796593243,-0.612992338124218,0.0191929187762166
455,SenDougJones,-0.7886362221285721,-0.6095509246020898,-0.003713095904392094
16,BobbyScott,0.8175039477739903,-0.6048077105930441,0.016581155835398962
296,RepKinzinger,-0.7426159451289347,-0.5980240920774993,-0.024588902164738278
458,SenGaryPeters,0.3461873575349116,-0.5978208064099755,0.00011133773001578687
105,NitaLowey,1.2262432169981585,-0.5961690142205757,0.020142690173847573
461,SenJackReed,1.3818275031606193,-0.5951968753704667,-0.011780499777607686
174,RepChrisPappas,0.14537025898430928,-0.5910553803284125,0.03243401039069634
514,SenatorSinema,-0.15416260108842336,-0.5889902132798461,-0.019276502831593607
254,RepHorsford,-0.6136972002860593,-0.5867101673792192,0.018927692017633925
179,RepCindyAxne,-0.2487269957318783,-0.5830779740560761,0.026285510685994124
161,RepBrindisi,0.021202930570201877,-0.5794621575590266,0.028381275546246074
298,RepLBR,-0.08770372688919333,-0.5787119922463098,0.020727480201479367
358,RepRaulGrijalva,-0.2736174317918411,-0.5718569442534397,0.010300535052023333
281,RepJohnYarmuth,-0.41805783101617666,-0.5686398120321671,0.010144652978643224
310,RepLouCorrea,-0.12026353687817296,-0.5633693122173346,0.022137000158646558
567,gracenapolitano,1.9630185607989117,-0.5542121301344425,0.030124490059892595
172,RepCheri,0.43028400970260683,-0.5530454085042268,0.02009284053311818
